name|description
Action|"An action story is similar to adventure, and the protagonist usually takes a risky turn, which leads to desperate situations (including explosions, fight scenes, daring escapes, etc.). Action and adventure are usually categorized together (sometimes even as ""action-adventure"") because they have much in common, and many stories fall under both genres simultaneously (for instance, the James Bond series can be classified as both)."
Adult |"Pornographic films (pornos), erotic films, or sex films are films that present sexually explicit subject matter in order to arouse and satisfy the viewer. Pornographic films present sexual fantasies and usually include erotically stimulating material such as nudity (softcore) and sexual intercourse (hardcore). A distinction is sometimes made between ""erotic"" and ""pornographic"" films on the basis that the latter category contains more explicit sexuality, and focuses more on arousal than storytelling, but the distinction is highly subjective."
Adventure |An adventure story is about a protagonist who journeys to epic or distant places to accomplish something. It can have many other genre elements included within it, because it is a very open genre. The protagonist has a mission and faces obstacles to get to their destination. Also, adventure stories usually include unknown settings and characters with prized properties or features.
Animation|Animation is a method in which figures are manipulated to appear as moving images. In traditional animation, images are drawn or painted by hand on transparent celluloid sheets to be photographed and exhibited on film. Today, most animations are made with computer-generated imagery (CGI). Computer animation can be very detailed 3D animation, while 2D computer animation (which may have the look of traditional animation) can be used for stylistic reasons, low bandwidth or faster real-time renderings. Other common animation methods apply a stop motion technique to two and three-dimensional objects like paper cutouts, puppets or clay figures.
Biography|A biographical film, or biopic, is a film that dramatizes the life of a non-fictional or historically-based person or people. Such films show the life of a historical person and the central character's real name is used. They differ from docudrama films and historical drama films in that they attempt to comprehensively tell a single person's life story or at least the most historically important years of their lives.
Comedy |Comedy is a story that tells about a series of funny, or comical events, intended to make the audience laugh. It is a very open genre, and thus crosses over with many other genres on a frequent basics.
Crime|A crime story is about a crime that is being committed or was committed. It can also be an account of a criminal's life. It often falls into the action or adventure genres.
Documentary |"A documentary film is a non-fictional motion-picture intended to ""document reality, primarily for the purposes of instruction, education, or maintaining a historical record"". Bill Nichols has characterised the documentary in terms of ""a filmmaking practice, a cinematic tradition, and mode of audience reception [that remains] a practice without clear boundaries""."
Drama|Within film, television and radio (but not theatre), drama is a genre of narrative fiction (or semi-fiction) intended to be more serious than humorous in tone, focusing on in-depth development of realistic characters who must deal with realistic emotional struggles. A drama is commonly considered the opposite of a comedy, but may also be considered separate from other works of some broad genre, such as a fantasy.
Family |A children's film, or family film, is a film genre that contains children or relates to them in the context of home and family. Children's films are made specifically for children and not necessarily for the general audience, while family films are made for a wider appeal with a general audience in mind. Children's films come in several major genres like realism, fantasy, adventure, war, musicals, comedy, and literary adaptations.
Fantasy|Fantasy films are films that belong to the fantasy genre with fantastic themes, usually magic, supernatural events, mythology, folklore, or exotic fantasy worlds. The genre is considered a form of speculative fiction alongside science fiction films and horror films, although the genres do overlap. Fantasy films often have an element of magic, myth, wonder, escapism, and the extraordinary. Prevalent elements include fairies, mermaids, witches, monsters, wizards, unicorns, dragons, talking animals, ogres, elves, trolls, white magic, gnomes, dwarves, giants, goblins, anthropomorphic or magical objects, familiars, curses and other enchantments, worlds involving magic, and the Middle Ages.
Film Noir |"Film noir  is a cinematic term used primarily to describe stylish Hollywood crime dramas, particularly those that emphasize cynical attitudes and sexual motivations. The 1940s and 1950s are generally regarded as the ""classic period"" of American film noir. Film noir of this era is associated with a low-key, black-and-white visual style that has roots in German Expressionist cinematography. Many of the prototypical stories and much of the attitude of classic noir derive from the hardboiled school of crime fiction that emerged in the United States during the Great Depression."
Game Show |A game show is a type of radio, television or stage show where contestants regularly compete for a reward. The history of game shows dates back to the invention of television as a medium. On most game shows, contestants either have to answer questions or solve puzzles, typically to win either money or prizes. Game shows often reward players with prizes such as cash, trips and goods and services provided by the show's sponsor.
History|"A story about a real person or event. There are also some fiction works that purport to be the ""memoirs"" of fictional characters as well, done in a similar style, however, these are in a separate genre. Often, they are written in a text book format, which may or may not focus on solely that."
Horror|"A horror story is told to deliberately scare or frighten the audience, through suspense, violence or shock. H. P. Lovecraft distinguishes two primary varieties in the ""Introduction"" to Supernatural Horror in Literature: 1) Physical Fear or the ""mundanely gruesome"" and 2) the true Supernatural Horror story or the ""Weird Tale"". The supernatural variety is occasionally called ""dark fantasy"", since the laws of nature must be violated in some way, thus qualifying the story as ""fantastic""."
Musical|"Musical film is a film genre in which songs by the characters are interwoven into the narrative, sometimes accompanied by dancing. The songs usually advance the plot or develop the film's characters, but in some cases, they serve merely as breaks in the storyline, often as elaborate ""production numbers."""
Music |A music genre is a conventional category that identifies some pieces of music as belonging to a shared tradition or set of conventions.[1] It is to be distinguished from musical form and musical style, although in practice these terms are sometimes used interchangeably.
Mystery |A mystery story follows an investigator as they attempt to solve a puzzle (often a crime). The details and clues are presented as the story continues and the protagonist discovers them and by the end of the story the mystery/puzzle is solved. For example, in the case of a crime mystery the perpetrator and motive behind the crime are revealed and the perpetrator is brought to justice. Mystery novels are often written in series, which facilitates a more in-depth development of the primary investigator.[6][7] Specific types of mystery story include locked room mysteries and cozy mysteries.
News|"depicting real, up-to-date events
Current affairs: Broadcast journalism where the emphasis is on detailed analysis and discussion of a news story.
Entertainment news: Form of entertainment journalism. Entertainment news programs focus on news involving the entertainment industry, including the world of film, television, and music.
Tabloid television: (also known as Teletabloid) a form of tabloid journalism. Tabloid television newscasts usually incorporate flashy graphics and sensationalized stories.[citation needed] Often, there is a heavy emphasis on crime, stories with good video, and celebrity news. It is a form of ""infotainment."""
Reality-TV|A purportedly unscripted show (though evidence suggests that some scripting or manipulation occurs) featuring non-actors interacting with each other or dealing with invented or contrived challenges, such as competing against others for a prize. Produced in a similar fashion as the documentary film genre, but with more emphasis on the showing of interpersonal conflict, emotional reactions, or unusual occurrences. The genre has numerous widely varying subgenres (see main article).
Romance|"The term ""romance"" has multiple meanings; historical romances like those of Walter Scott would use the term to mean ""a fictitious narrative in prose or verse; the interest of which turns upon marvellous and uncommon incidents"". But most often a romance is understood to be ""love stories"", emotion-driven stories that are primarily focused on the relationship between the main characters of the story. Beyond the focus on the relationship, the biggest defining characteristic of the romance genre is that a happy ending is always guaranteed... perhaps marriage and living ""happily ever after"", or simply that the reader sees hope for the future of the romantic relationship. Due to the wide definition of romance, romance stories cover a wide variety of subjects and often fall into other genre categories as well as romance, such as Comedy-Romance (also known as romcom films), romantic suspense and (less common now): subcategories such as hospital romances, as found in the novels by Lucilla Andrews. See Mills & Boon imprint categories and Harlequin romances categories for a partial list of other sub-genres."
Sci-Fi |Science fiction is similar to fantasy, except stories in this genre use scientific understanding to explain the universe that it takes place in. It generally includes or is centered on the presumed effects or ramifications of computers or machines; travel through space, time or alternate universes; alien life-forms; genetic engineering; or other such things. The science or technology used may or may not be very thoroughly elaborated on; stories whose scientific elements are reasonably detailed, well-researched and considered to be relatively plausible given current knowledge and technology are often referred to as hard science fiction.
Short|"A short film is any motion picture not long enough in running time to be considered a feature film. The Academy of Motion Picture Arts and Sciences defines a short film as ""an original motion picture that has a running time of 40 minutes or less, including all credits"". In the United States, short films were generally termed short subjects from the 1920s into the 1970s when confined to two 35mm reels or less, and featurettes for a film of three or four reels. ""Short"" was an abbreviation for either term."
Sport |A sports film is a film genre that uses sport as the theme of the film. It is a production in which a sport, sporting event, athlete (and their sport), or follower of sport (and the sport they follow) are prominently featured, and which depend on sport to a significant degree for their plot motivation or resolution. Despite this, sport is ultimately rarely the central concern of such films and sport performs primarily an allegorical role. Furthermore, sports fans are not necessarily the target demographic in such movies, but sports fans tend to have a large following or respect for such movies.
