title|year|running_time|genres|rating|synopsis|directors|actors|trailer_link|trailer_running_time|release_dates|enable_import
The Godfather|1972|175|Crime, Drama|9,2|Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.|Francis Ford Coppola|Marlon Brando, Al Pacino, James Caan, Diane Keaton|https://www.youtube.com/watch?v=5DO-nDW43Ik|128|1972-03-15:Usa,1972-10-18:France|1
Star Wars|1977|121|Action, Adventure, Fantasy|8,6|Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.|George Lucas |Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness|https://www.youtube.com/watch?v=1g3_CFmnU7k|165|1977-05-25:Usa,1977-10-19:France |1
Star Wars: Episode V - The Empire Strikes Back|1980|124|Action, Adventure, Fantasy|8,7|The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.|Irvin Kershner |Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams|https://www.youtube.com/watch?v=JNwNXF9Y6kY|126|1980-05-21:Usa,1980-05-21:France|1
The Godfather: Part II|1974|202|Crime, Drama|9|In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.|Francis Ford Coppola|Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton|https://www.youtube.com/watch?v=9O1Iy9od7-A|258|1974-12-20:Usa,1975-08-27:France|1
One Flew Over the Cuckoo's Nest|1975|133|Drama|8,7|While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy, inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.|Milos Forman |Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco|https://www.youtube.com/watch?v=OXrcDonY-B8|154|1975-11-19:Usa,1976-03-01:France|1
The Shining|1978|146|Drama, Horror|8,4|Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.|Stanley Kubrick|Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers|https://www.youtube.com/watch?v=S014oGZiSdI|87|1980-05-23:Usa,1980-10-16:France|1
Alien|1979|117|Horror, Sci-Fi|8,4|During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.|Ridley Scott |Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright|https://www.youtube.com/watch?v=LjLamj-b0I8|121|1979-05-05:Usa,1979-09-12:France|1
A Clockwork Orange|1971|136|Crime, Drama, Sci-Fi|8,3|In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?| Stanley Kubrick|Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke|https://www.youtube.com/watch?v=vN-1Mup0UI0|129|1972-02-02:Usa,1972-04-01:France|1
Taxi Driver|1976|114|Crime, Drama|8,3|A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action, attempting to save a preadolescent prostitute in the process.|Martin Scorsese|Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks|https://www.youtube.com/watch?v=UUxD4-dEzn0|186|1976-02-08:Usa,1976-06-02:France|1
Apocalypse Now|1979|147|Drama, Mystery, War|8,4|"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory."|Francis Ford Coppola|Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest|https://www.youtube.com/watch?v=FTjG-Aux_yQ|237|1979-08-15:Usa,1979-09-26:France|1
